pagename,post_id,comment_id,comment
wsj,8304333127_10156689257643128,10156689257643128_10156692924018128,Yeah thanks to a president who can't keep his mouth shut.
wsj,8304333127_10156688358953128,10156688358953128_10156688475868128,Comparing the amount spent on FB ads to the amount spent on all kinds of ads = very misleading. Regardless of your view or opinion it would be more fair to compare the Russian FB ad buy to Clinton's FB ad buy. ... or better yet how much was spent by a foreign adversarial government on pro-Trump ads vs. how much was spent by a foreign adversarial government on pro-Hillary ads?
wsj,8304333127_10156688609808128,10156688609808128_10156688978398128,I don't get it-- does the trumpster dumpster have no pressing business like North Korea? And does anyone remember how 45 ruined the USFL?
wsj,8304333127_10156687124233128,10156687124233128_10156691418308128,The only people that like Obama Care are the ones getting free or subsidized by the rest of us.  What good is health insurance if you cannot afford to use it.
wsj,8304333127_10156679575828128,10156679575828128_10156680698433128,"Why else would The Donald have declared his 2020 candidacy on his Inauguration Day except to be able to spend campaign money?  Paying for his rallies his legal fees related to campaign activities his infomercials and ""news"" on the 174 Sinclair media outlets---he is already in full campaign mode."
wsj,8304333127_10156679738118128,10156679738118128_10156688567968128,Jennifer Lg
wsj,8304333127_10156668072748128,10156668072748128_376436929437374,Chelsey Heidenreich Kristine Lamping gotta watch until the last one. Y'all new to update haha
wsj,8304333127_10156691556738128,10156691556738128_10156694300253128,when people earn  more money they spend more. better for the economy. win win
wsj,8304333127_10156679354278128,10156679354278128_10156679407703128,So basically the Weinsteins are a bunch of cunts.
wsj,8304333127_10156679105033128,10156679105033128_10156680477448128,Why hasn't WSJ owner Rupert Murdock retired. More class warfare from the WSJ to keep the 1% in power. Excellent.
wsj,8304333127_10156693395958128,10156693395958128_10156696599188128,Tired of all the winning Trumpies?
wsj,8304333127_10156679265823128,10156679265823128_10156682339108128,I. Empresa Hispanoamericana establecida en Estados Unidos ofrece oportunidad con excelentes ingresos para personas de habla hispana que viajen a New York ya tenemos más de 80 latinos trabajando con nosotros en la compañía. Requerimos personas en el área de negocios mercadeo y ventas. Interesados enviar su hoja de vida al correo: empleohispano2017@gmail.comRequisito indispensable: Documentación lista para viajar.Para mayor información contáctanos por WhatsApp: +584161609513   con la Licda. Carolina Quevedo  Auxiliar Gestión Humana.
wsj,8304333127_10156679575828128,10156679575828128_10156679619548128,https://www.youtube.com/watch?v=GAjyeiXrYWU
wsj,8304333127_10156685748593128,10156685748593128_10156686424183128,Nikki Martinez ok lets bring siestas to south Florida!
wsj,8304333127_10156681362133128,10156681362133128_10156681606463128,ai
wsj,8304333127_10156680079258128,10156680079258128_10156680596923128,Read this and was thinking of these men all day. Rest in peace.
wsj,8304333127_10156691556738128,10156691556738128_10156692196928128,This is how this should be done through the market
wsj,8304333127_10156688358953128,10156688358953128_10156691537033128,Another new low for the WSJ — a new conduit for far Right extremism in this Rupert Murdoch era.
wsj,8304333127_10156688656458128,10156688656458128_493826801010037,What were the classifications
wsj,8304333127_10156692652508128,10156692652508128_10156697547503128,These guys are masters of exploiting working visas and workers. They pay leds to the inmigrant workers on projects and after they are trained yhey send them back to Microsoft outsourcing companies they are associated with. Perfect business with cheap labor strategies.
wsj,8304333127_10156666399558128,10156666399558128_10156669238898128,Until the new rule was instituted probably not one in ten citizens in any given municipalities had any idea that they were being saddled with these expenses.  I wonder if they'll now take notice. One of the great tragedies is that the very people these scams were advertised to benefit are those who've benefited the least and who stand to ... proportionally ... lose the most.
wsj,8304333127_10156690248658128,10156690248658128_10156690672438128,Ah ah. Silly. If anything the global economy will loosen the dollar's role.
wsj,8304333127_10156687659258128,10156687659258128_10156687747468128,Seems the 'alt right' Trump some of the media  confuses 'free speech' with 'hate speech' equates them.. Why should any institution tolerate hate speech?? People have the right to do lots of disgusting dangerous self destructive stuff but there are boundaries social norms acceptable limits.. Its not simply 'shutting down' those that disagree.. Its shutting down 'hate speech'.. Its like inciting a riot its illegal to incite violence.. What good can come of hate speech?? Should it be protected just for 'protection' sake?? The Nazi KKK tiki torch parade in Charolettsville resulted in an innocent death of a protester.. Even through Trump concluded there were some 'fine folks' there nobody outside the 'alt right' agrees.. Just like the supreme court ruled a cake maker can refuse to make a wedding cake for a gay couple cant a university refuse to provide a platform for hate speech??
wsj,8304333127_10156688609808128,10156688609808128_10156688703198128,WHY WAS THE POST ABOUT THE STEELER VILLANUEVA PARTICIPATING IN THE NATIONAL ANTHEM DELETED????
wsj,8304333127_10156668072748128,10156668072748128_280566372458692,Okay these are pretty cool but i feel like the type to siri thing is pretty stupid and kinda defeats the purpose of siri all together coz then at that point you'd just use google like a normal person.
wsj,8304333127_10156690248658128,10156690248658128_10156691223908128,Exactly what I thought with the way we applied trade sanctions on NK.   I'm sure China was happy with them because they signal that the US is willing to limit access to dollars for geopolitical leverage.   That will stimulate the global drive for an alternate currency.
wsj,8304333127_10156688609808128,10156688609808128_10156689954373128,These black lives don't matter at all
wsj,8304333127_10156691135058128,10156691135058128_10156691234938128,Robin Schneider D'Andrea
wsj,8304333127_10156692122798128,10156692122798128_10156693223098128,"Sounds so nazi and ignorant at once ""posttraumatic growth"""
wsj,8304333127_10156682827758128,10156682827758128_10156682931218128,They should go visit Obama that would tear a hole in Trumps butt
wsj,8304333127_10156668072748128,10156668072748128_1424064354373468,Wow. Seriously cellphones have become as controversial as Politics and Religion?!?  Embrace our differences.  We don’t all like the same cereal...
wsj,8304333127_10156681434588128,10156681434588128_10156681950613128,Break out price oil Next week review marketwatch
wsj,8304333127_10156690473133128,10156690473133128_10156691278748128,Total BS here!
wsj,8304333127_10156688656458128,10156688656458128_518171035198885,The guy literally looks like a rat.
