pagename,post_id,comment_id,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6
wsj,8304333127_10156666865033128,10156666865033128_10156668798723128,3,0,0,0,0,0
wsj,8304333127_10156668072748128,10156668072748128_1065990040170456,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1065993970170063,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_116416582384883,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_117302365605329,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_118612725482884,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_119183625414100,1,1,1,0,1,1
wsj,8304333127_10156668072748128,10156668072748128_119358842077185,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_119493632066145,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_120047402038138,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_120261428638947,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_125663298090781,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_130077634400448,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_131769714134165,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_131895077450217,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_134280113874860,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1343989355723600,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_135629747059384,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1361766627255842,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1376773032420044,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1406443002805378,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_140856223193694,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_142817556332728,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1459215180810503,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1469191526501635,0,0,0,0,3,1
wsj,8304333127_10156668072748128,10156668072748128_1483138451732199,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1521701247917325,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1528920020520147,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_1533788170043317,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_161394614442840,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1616934551714802,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1639865796085761,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_164254420820294,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_170551150177123,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_173087196582523,0,0,0,0,3,1
wsj,8304333127_10156668072748128,10156668072748128_173391026554487,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_1742203112741039,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_175100193049085,0,0,0,0,1,2
wsj,8304333127_10156668072748128,10156668072748128_177326489506484,0,0,0,0,3,0
wsj,8304333127_10156668072748128,10156668072748128_179640862607057,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_1829958440355121,0,0,0,0,2,1
wsj,8304333127_10156668072748128,10156668072748128_1870869163231971,0,0,0,0,0,3
wsj,8304333127_10156668072748128,10156668072748128_189526804924126,0,0,0,0,3,0
