pagename, post_id, comment_id, comment
wsj,8304333127_10156679738118128,10156679738118128_10156687656403128,I love your job!
wsj,8304333127_10156668072748128,10156668072748128_177333142839152,Yay!!! Kelangan ko yung keyboard kasi parang tablet yung phone ko sa laki 
wsj,8304333127_10156668072748128,10156668072748128_150479345445004,Xiomara Piña Ruby Villasana get with it y’all 
wsj,8304333127_10156668072748128,10156668072748128_133766803918100,Katerin Ortega
wsj,8304333127_10156668072748128,10156668072748128_173086109915965,Ohhh okay
wsj,8304333127_10156668072748128,10156668072748128_706968889493873,Ricardo Garcia I now have a way to scan my papers to the school 
wsj,8304333127_10156668072748128,10156668072748128_275899599590865,Krystal Tesauro Hosfeld
wsj,8304333127_10156668072748128,10156668072748128_118613785482778,Kelli Kelsall Jakob Kelsall Brian Kelsall Nick Timmings
wsj,8304333127_10156668072748128,10156668072748128_2044815689073097,Kendall Amanda Divers Justine Anne L. Gala ️
wsj,8304333127_10156668072748128,10156668072748128_1942633606004682,We don't need this features
wsj,8304333127_10156668072748128,10156668072748128_269362013574909,I still not update yet it 
wsj,8304333127_10156668072748128,10156668072748128_637743329946875,Kaitlyn Yung Jamie L Yung
wsj,8304333127_10156668072748128,10156668072748128_295369187609480,Hil Ramiro
wsj,8304333127_10156668072748128,10156668072748128_666385256897529,Tony Rodridues
wsj,8304333127_10156668072748128,10156668072748128_2000392916914673,Sharlion Woods
wsj,8304333127_10156668072748128,10156668072748128_548074625524624,Leila Narciso
wsj,8304333127_10156668072748128,10156668072748128_815059655367308,Hazem Abou El Ela
wsj,8304333127_10156668072748128,10156668072748128_231168704129467,Shao Lun
wsj,8304333127_10156668072748128,10156668072748128_677136039152647,Noé Schyns
wsj,8304333127_10156668072748128,10156668072748128_117835902219134,Rita Hanna
wsj,8304333127_10156668072748128,10156668072748128_342875662825337,Cleis Antezana salió el martes oe!
wsj,8304333127_10156668072748128,10156668072748128_172021883347212,Elliott Finnan
wsj,8304333127_10156668072748128,10156668072748128_206675783206068,Caro Fellmann
wsj,8304333127_10156668072748128,10156668072748128_833721253419714,Genesis Amelia really the best update
wsj,8304333127_10156668072748128,10156668072748128_129097021074012,Bhupinder Singh Basra
wsj,8304333127_10156668072748128,10156668072748128_1919550754985609,Tasha Mcelwee yes
wsj,8304333127_10156668072748128,10156668072748128_597422397315117,
wsj,8304333127_10156668072748128,10156668072748128_172479586660975,Ahmed Hassan
wsj,8304333127_10156668072748128,10156668072748128_779528845551852,Thess Halop Jen Drilon
wsj,8304333127_10156668072748128,10156668072748128_706974729493289,Veronica Tovar I saw posts on Twitter, I can't find them lol but the update looks good to me
wsj,8304333127_10156668072748128,10156668072748128_113470576066955,Kris Sears
