pagename,post_id,comment_id,comment
wsj,8304333127_10156668072748128,10156668072748128_2024064424489702,Jacky Sanchez
wsj,8304333127_10156668072748128,10156668072748128_1636268413071071,Don't talk about affordability. I use iPhone 7 but as a tech guy I can say android is more user friendly. However iOS is more secure.
wsj,8304333127_10156668072748128,10156668072748128_1415695835215899,Chris Dubuss
wsj,8304333127_10156668072748128,10156668072748128_513613025657480,Cool
wsj,8304333127_10156668072748128,10156668072748128_195705377637165,Bec Talon San Juan Maria Louie PW ayan hehe
wsj,8304333127_10156668072748128,10156668072748128_1907595032900947,Dhemhie Baltazar Ferrer
wsj,8304333127_10156668072748128,10156668072748128_911784715643022,Palwinder Singh
wsj,8304333127_10156668072748128,10156668072748128_275130306338988,Ruthyy Hernandez
wsj,8304333127_10156668072748128,10156668072748128_489592331411764,Andrea Walshe
wsj,8304333127_10156668072748128,10156668072748128_185934871949815,Kate
wsj,8304333127_10156668072748128,10156668072748128_519720448362351,Dennyse Ortega Ramirez Kimberley Maldonado Clarissa Maldonado
wsj,8304333127_10156668072748128,10156668072748128_152071892051095,We gotta FaceTime soon!!!!!
wsj,8304333127_10156668072748128,10156668072748128_1477582859207116,Maria Giallanza Eckley Karen Rouzeré Garcia
wsj,8304333127_10156668072748128,10156668072748128_231204124125925,Roanne Abigael Aquino
wsj,8304333127_10156668072748128,10156668072748128_1949646835258928,Kushal Mehta Kita Navalyal
wsj,8304333127_10156668072748128,10156668072748128_2002735093343886,Nice!!
wsj,8304333127_10156668072748128,10156668072748128_346597395793218,Karen Camille
wsj,8304333127_10156668072748128,10156668072748128_285212141994016,Sharilafizi Sharil
wsj,8304333127_10156668072748128,10156668072748128_1987735514836357,Jesse Garcia
wsj,8304333127_10156668072748128,10156668072748128_302607716813963,Alejandro Silva
wsj,8304333127_10156668072748128,10156668072748128_1971459943101626,Archis S Relekar
wsj,8304333127_10156668072748128,10156668072748128_748463415357137,Emma Bahar
wsj,8304333127_10156668072748128,10156668072748128_352429195194445,Alex Zendejas
wsj,8304333127_10156668072748128,10156668072748128_1721341414840015,Ahy... wawa... hahaha
wsj,8304333127_10156668072748128,10156668072748128_276513036196647,Estefany Hernandez
wsj,8304333127_10156668072748128,10156668072748128_1566786700051372,me either
wsj,8304333127_10156668072748128,10156668072748128_1301975643263849,Ghulam Ali
wsj,8304333127_10156668072748128,10156668072748128_134835270488783,Bolne hi wala tha, phr socha k aaj khush hne do esse
wsj,8304333127_10156668072748128,10156668072748128_184083382137030,Murtaza Alassady
wsj,8304333127_10156668072748128,10156668072748128_524764101204335,Irene Theotokas
wsj,8304333127_10156668072748128,10156668072748128_121730415120529,Bhai ab ye purana hogaya
wsj,8304333127_10156668072748128,10156668072748128_301468106999664,خسارة هاد بس للايفون ٥اس و احدث+ شوفي التوب كومنت و الريبلاي
wsj,8304333127_10156668072748128,10156668072748128_190175654859857,Janell Almuina
wsj,8304333127_10156668072748128,10156668072748128_117520828915446,Eh daaa helwww awiiiiiiii
wsj,8304333127_10156668072748128,10156668072748128_354867214935886,Isse hi pata. Chala tha Mujhe
wsj,8304333127_10156668072748128,10156668072748128_1611550028867340,OKAY no joke this is my fave thing about this phone
wsj,8304333127_10156668072748128,10156668072748128_712663778939009,Look at GOD
wsj,8304333127_10156668072748128,10156668072748128_1640109892728018,Naeem Abu-Rayees Mirza
wsj,8304333127_10156687011648128,10156687011648128_10156687224563128,Yeah, how dare an American actually be covered by the First Amendment RIGHT to protest. It's sad some folks seem to think the Constitution does not protect certain citizens. And to imagine, Trump took an oath to protect and defend the Constitution including that very provision. Yeah, "tradition" over law and Constitution. How very (un)American.
wsj,8304333127_10156668072748128,10156668072748128_136763060294519,No hidden feature for me!
wsj,8304333127_10156668072748128,10156668072748128_118258025519837,Mark Anzures
