pagename,post_id,comment_id,comment
wsj,8304333127_10156668072748128,10156668072748128_1923894017859073,"Jacqui Pardea"
wsj,8304333127_10156668072748128,10156668072748128_489913654706246,"Nice buti naman"
wsj,8304333127_10156668072748128,10156668072748128_2438650336361009,"Johann Papenbrock"
wsj,8304333127_10156668072748128,10156668072748128_1829958440355121,"Zihui Lam"
wsj,8304333127_10156668072748128,10156668072748128_278768289277416,"Amanda Dookie"
wsj,8304333127_10156668072748128,10156668072748128_482545285449002,"Allison Joyce Solon"
wsj,8304333127_10156668072748128,10156668072748128_232405377287408,"Look like for iPhone 7??"
wsj,8304333127_10156668072748128,10156668072748128_120047402038138,"Ashraf M Q Abdulhamed"
wsj,8304333127_10156668072748128,10156668072748128_120261428638947,"Jevamalar Pechamuthu Vidyaa Paramasivam Pillai Syuhada Othaman Alek"
wsj,8304333127_10156668072748128,10156668072748128_140856223193694,"Tapan Kane Aditya Giri Rohit Indulkar"
wsj,8304333127_10156668072748128,10156668072748128_1528920020520147,"Serrano De Estena"
wsj,8304333127_10156668072748128,10156668072748128_347563812355878,"Antoniofletes Fletes"
wsj,8304333127_10156668072748128,10156668072748128_339340879852679,"Yo tengo eso a excepción del n5 desde mi S2 creo... XD pero bien Apple :P"
wsj,8304333127_10156668072748128,10156668072748128_1483138451732199,"Dhanise Belan"
wsj,8304333127_10156668072748128,10156668072748128_874328612724805,"Esparradíssimo"
wsj,8304333127_10156668072748128,10156668072748128_1065990040170456,"Bohdi Johnson"
wsj,8304333127_10156668072748128,10156668072748128_189526804924126,"German Gonzalez Stephanie Aguilar Gonzalez"
wsj,8304333127_10156668072748128,10156668072748128_269694376874532,"wala lang ko ning dayun oyy"
wsj,8304333127_10156687011648128,10156687011648128_10156687360538128,"Wrong Timothy Gobbel It is against the law for Trump to do this.
Law 18 Code 227
https://www.law.cornell.edu/uscode/text/18/227"
wsj,8304333127_10156668072748128,10156668072748128_366242437122403,"Ashwin Tumma"
wsj,8304333127_10156687011648128,10156687011648128_10156687459603128,"https://en.wikipedia.org/wiki/False_equivalence"
wsj,8304333127_10156668072748128,10156668072748128_342870806159156,"Yup just sent that to munaiza! "
wsj,8304333127_10156668072748128,10156668072748128_118612725482884,"Rawad Aboul Hosn"
wsj,8304333127_10156668072748128,10156668072748128_161394614442840,"Aadila Haneef"
wsj,8304333127_10156668072748128,10156668072748128_464831927232395,"Sara Avramovic"
wsj,8304333127_10156668072748128,10156668072748128_1406443002805378,"Mohamed Mamdouh"
wsj,8304333127_10156668072748128,10156668072748128_116416582384883,"Barbora Dudova & Andrej Michna nice? :D"
wsj,8304333127_10156668072748128,10156668072748128_668971703311927,"Stap lie!"
wsj,8304333127_10156668072748128,10156668072748128_131769714134165,"Wan Nurul Syuhada"
wsj,8304333127_10156668072748128,10156668072748128_862768080557120,"Nice"
wsj,8304333127_10156668072748128,10156668072748128_173391026554487,"Vanessa Brill"
wsj,8304333127_10156668072748128,10156668072748128_509283816092340,"Jack Wilkinson"
wsj,8304333127_10156668072748128,10156668072748128_305024219971854,"Punith Kumar"
wsj,8304333127_10156668072748128,10156668072748128_1616934551714802,"Irene A. Hernandez Deanna Hernandez"
wsj,8304333127_10156668072748128,10156668072748128_119493632066145,"Mitchell Tuck"
wsj,8304333127_10156668072748128,10156668072748128_368583440245185,"Emily White"
wsj,8304333127_10156668072748128,10156668072748128_432337537161495,"Maloo have to delete my soul and heart to make space for this"
wsj,8304333127_10156668072748128,10156668072748128_131895077450217,"Aditya Lingangari I don't have wifi here "
wsj,8304333127_10156668072748128,10156668072748128_304315626643527,"Aaron Guifarro"
wsj,8304333127_10156668072748128,10156668072748128_134280113874860,"Kieran Townsend"
wsj,8304333127_10156668072748128,10156668072748128_1343989355723600,"Yahayas giatay oi suya kayko da"
wsj,8304333127_10156668072748128,10156668072748128_449408182126523,"Damian Aguilar"
wsj,8304333127_10156668072748128,10156668072748128_179640862607057,"Arjelien Joy Abratigue Tubigan nd.. concern lang tlga ako.. ipanood mo nga kay Nica ito.."
wsj,8304333127_10156668072748128,10156668072748128_117302365605329,"Monique Secretan Alisha Mane Natalia Sayer"
wsj,8304333127_10156668072748128,10156668072748128_277730349412075,"Mikey Abk"
wsj,8304333127_10156668072748128,10156668072748128_489358128101501,"Micaella Desiderio hihihi ️"
wsj,8304333127_10156668072748128,10156668072748128_342966556149581,"Attila Yilmaz"
wsj,8304333127_10156668072748128,10156668072748128_1376773032420044,"Monique Luong"
